date,agency_name,value,source
2022-09-01,Caltrain,614452,NTD
2022-10-01,Caltrain,627694,NTD
2022-11-01,Caltrain,607469,NTD
2022-12-01,Caltrain,534410,NTD
2023-01-01,Caltrain,589372,NTD
2023-02-01,Caltrain,537740,NTD
2023-03-01,Caltrain,616076,NTD
2023-04-01,Caltrain,503338,NTD
2023-05-01,Caltrain,593432,NTD
2023-06-01,Caltrain,649043,NTD
2023-07-01,Caltrain,642468,NTD
2023-08-01,Caltrain,571162,NTD
2023-09-01,Caltrain,635982,NTD
2023-10-01,Caltrain,668627,NTD
2023-11-01,Caltrain,658857,NTD
2023-12-01,Caltrain,593295,NTD
2024-01-01,Caltrain,631406,NTD
2024-02-01,Caltrain,573193,NTD
2024-03-01,Caltrain,614926,NTD
2024-04-01,Caltrain,554451,NTD
2024-05-01,Caltrain,629430,NTD
2024-06-01,Caltrain,631208,NTD
2024-07-01,Caltrain,766507,NTD
2024-08-01,Caltrain,809607,NTD
2024-09-01,Caltrain,849044,NTD
2024-10-01,Caltrain,1228086,NTD
2024-11-01,Caltrain,865474,NTD
2024-12-01,Caltrain,855232,NTD
2025-01-01,Caltrain,820443,NTD
2025-02-01,Caltrain,750389,NTD
2025-03-01,Caltrain,896348,NTD
2025-04-01,Caltrain,987446,NTD
2025-05-01,Caltrain,1019481,NTD
2025-06-01,Caltrain,1163817,NTD
2025-07-01,Caltrain,1160572,NTD
2025-08-01,Caltrain,1195461,NTD
2025-09-01,Caltrain,1235482,NTD
2025-10-01,Caltrain,1314942,NTD
2025-11-01,Caltrain,1195323,NTD
2025-12-01,Caltrain,1176084,NTD
2026-01-01,Caltrain,1187708,NTD
2026-02-01,Caltrain,1022834,NTD
2026-03-01,Caltrain,1141951,NTD
