date,agency_name,value,source
2009-10-01,San Francisco Municipal Railway,13715325,NTD
2009-10-01,Bay Area Rapid Transit,10160860,NTD
2009-11-01,San Francisco Municipal Railway,11170980,NTD
2009-11-01,Bay Area Rapid Transit,8842079,NTD
2009-12-01,Bay Area Rapid Transit,8793299,NTD
2009-12-01,San Francisco Municipal Railway,11650143,NTD
2010-01-01,Bay Area Rapid Transit,8155524,NTD
2010-01-01,San Francisco Municipal Railway,11022338,NTD
2010-02-01,Bay Area Rapid Transit,8189423,NTD
2010-02-01,San Francisco Municipal Railway,9995245,NTD
2010-03-01,San Francisco Municipal Railway,11788855,NTD
2010-03-01,Bay Area Rapid Transit,9251973,NTD
2010-04-01,Bay Area Rapid Transit,8972334,NTD
2010-04-01,San Francisco Municipal Railway,11442922,NTD
2010-05-01,San Francisco Municipal Railway,11543773,NTD
2010-05-01,Bay Area Rapid Transit,8896679,NTD
2010-06-01,Bay Area Rapid Transit,9095592,NTD
2010-06-01,San Francisco Municipal Railway,11981169,NTD
2010-07-01,Bay Area Rapid Transit,9068608,NTD
2010-07-01,San Francisco Municipal Railway,11321766,NTD
2010-08-01,Bay Area Rapid Transit,9438760,NTD
2010-08-01,San Francisco Municipal Railway,11648070,NTD
2010-09-01,San Francisco Municipal Railway,11715922,NTD
2010-09-01,Bay Area Rapid Transit,9446738,NTD
2010-10-01,Bay Area Rapid Transit,9684379,NTD
2010-10-01,San Francisco Municipal Railway,11939479,NTD
2010-11-01,Bay Area Rapid Transit,9161703,NTD
2010-11-01,San Francisco Municipal Railway,10838313,NTD
2010-12-01,Bay Area Rapid Transit,8913375,NTD
2010-12-01,San Francisco Municipal Railway,11112945,NTD
2011-01-01,San Francisco Municipal Railway,11313993,NTD
2011-01-01,Bay Area Rapid Transit,8728778,NTD
2011-02-01,Bay Area Rapid Transit,8441890,NTD
2011-02-01,San Francisco Municipal Railway,10998847,NTD
2011-03-01,Bay Area Rapid Transit,9555408,NTD
2011-03-01,San Francisco Municipal Railway,11940945,NTD
2011-04-01,Bay Area Rapid Transit,9346845,NTD
2011-04-01,San Francisco Municipal Railway,11809434,NTD
2011-05-01,San Francisco Municipal Railway,11811759,NTD
2011-05-01,Bay Area Rapid Transit,9532758,NTD
2011-06-01,San Francisco Municipal Railway,11409302,NTD
2011-06-01,Bay Area Rapid Transit,9779786,NTD
2011-07-01,San Francisco Municipal Railway,12016971,NTD
2011-07-01,Bay Area Rapid Transit,9493821,NTD
2011-08-01,San Francisco Municipal Railway,12624662,NTD
2011-08-01,Bay Area Rapid Transit,10198701,NTD
2011-09-01,Bay Area Rapid Transit,9977902,NTD
2011-09-01,San Francisco Municipal Railway,12696952,NTD
2011-10-01,San Francisco Municipal Railway,12697411,NTD
2011-10-01,Bay Area Rapid Transit,10253767,NTD
2011-11-01,Bay Area Rapid Transit,9511142,NTD
2011-11-01,San Francisco Municipal Railway,11566060,NTD
2011-12-01,San Francisco Municipal Railway,11174462,NTD
2011-12-01,Bay Area Rapid Transit,9504591,NTD
2012-01-01,San Francisco Municipal Railway,11085227,NTD
2012-01-01,Bay Area Rapid Transit,9592678,NTD
2012-02-01,San Francisco Municipal Railway,11222237,NTD
2012-02-01,Bay Area Rapid Transit,9663403,NTD
2012-03-01,San Francisco Municipal Railway,11523903,NTD
2012-03-01,Bay Area Rapid Transit,10063110,NTD
2012-04-01,San Francisco Municipal Railway,11545086,NTD
2012-04-01,Bay Area Rapid Transit,9880761,NTD
2012-05-01,San Francisco Municipal Railway,11107932,NTD
2012-05-01,Bay Area Rapid Transit,10516638,NTD
2012-06-01,Bay Area Rapid Transit,10208164,NTD
2012-06-01,San Francisco Municipal Railway,11024473,NTD
2012-07-01,San Francisco Municipal Railway,11351577,NTD
2012-07-01,Bay Area Rapid Transit,10252748,NTD
2012-08-01,Bay Area Rapid Transit,10978493,NTD
2012-08-01,San Francisco Municipal Railway,12261937,NTD
2012-09-01,San Francisco Municipal Railway,11681037,NTD
2012-09-01,Bay Area Rapid Transit,10347984,NTD
2012-10-01,Bay Area Rapid Transit,11975954,NTD
2012-10-01,San Francisco Municipal Railway,12250629,NTD
2012-11-01,San Francisco Municipal Railway,10906247,NTD
2012-11-01,Bay Area Rapid Transit,10225693,NTD
2012-12-01,San Francisco Municipal Railway,10967747,NTD
2012-12-01,Bay Area Rapid Transit,9661444,NTD
2013-01-01,Bay Area Rapid Transit,10044582,NTD
2013-01-01,San Francisco Municipal Railway,10725677,NTD
2013-02-01,Bay Area Rapid Transit,9720752,NTD
2013-02-01,San Francisco Municipal Railway,10500080,NTD
2013-03-01,Bay Area Rapid Transit,10677769,NTD
2013-03-01,San Francisco Municipal Railway,11563829,NTD
2013-04-01,Bay Area Rapid Transit,10968542,NTD
2013-04-01,San Francisco Municipal Railway,11784901,NTD
2013-05-01,Bay Area Rapid Transit,11107331,NTD
2013-05-01,San Francisco Municipal Railway,12125027,NTD
2013-06-01,Bay Area Rapid Transit,10585204,NTD
2013-06-01,San Francisco Municipal Railway,11193135,NTD
2013-07-01,Bay Area Rapid Transit,9005234,NTD
2013-07-01,San Francisco Municipal Railway,11342611,NTD
2013-08-01,Bay Area Rapid Transit,11271687,NTD
2013-08-01,San Francisco Municipal Railway,11680476,NTD
2013-09-01,Bay Area Rapid Transit,11062296,NTD
2013-09-01,San Francisco Municipal Railway,11812509,NTD
